date,DRR
2010/01/18,0.5
2010/02/25,0.5
2010/05/10,0.5
2010/11/16,0.5
2010/11/29,0.5
2010/12/20,0.5
2011/01/20,0.5
2011/02/24,0.5
2011/03/25,0.5
2011/04/21,0.5
2011/05/18,0.5
2011/06/20,0.5
2011/12/05,-0.5
2012/02/24,-0.5
2012/05/18,-0.5
2015/02/05,-0.5
2015/04/20,-1
2015/09/06,-0.5
2015/10/24,-0.5
2016/03/01,-0.5
